method,task_id,seed,flow_step,t,lambda_pov,raw_velocity_norm,endpoint_constraint_violation_before_projection,endpoint_goal_error,endpoint_min_clearance,projection_called,projection_solver_success,projection_solver_status,projection_solver_iterations,projection_runtime_sec,projection_total_runtime_sec,correction_norm,normalized_correction_norm,velocity_change_norm,goal_error_before_projection,goal_error_after_projection,min_clearance_before_projection,min_clearance_after_projection,violation_before_projection,violation_after_projection,projection_error,endpoint_feasible,adaptive_trigger,trigger_collision,trigger_joint,trigger_velocity,trigger_acceleration,diagnostic_last_step_suppressed
PLAIN_FM,0,0,0,0.0,0.0,18.521711349487305,14.858668309116364,0.4599528407096848,0.0575940937551297,0.0,,,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,,,,,0.0
PLAIN_FM,0,0,1,0.1428571428571428,0.0,18.458784103393555,12.181367438697816,0.4680838611472188,0.0581863300731217,0.0,,,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,,,,,0.0
PLAIN_FM,0,0,2,0.2857142857142857,0.0,18.479833602905277,9.85798076953888,0.4679201635728544,0.0605482629753437,0.0,,,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,,,,,0.0
PLAIN_FM,0,0,3,0.4285714285714285,0.0,18.47991180419922,7.733020645046234,0.4656386309229067,0.0625095401320078,0.0,,,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,,,,,0.0
PLAIN_FM,0,0,4,0.5714285714285714,0.0,18.4807243347168,6.047917168998718,0.4620365789341203,0.0644971746009117,0.0,,,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,,,,,0.0
PLAIN_FM,0,0,5,0.7142857142857143,0.0,18.489437103271484,4.237767618560791,0.45864082238138,0.06745704706052,0.0,,,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,,,,,0.0
PLAIN_FM,0,0,6,0.8571428571428571,0.0,18.20765686035156,4.166937333011627,0.4667795981086212,0.0712830943149155,0.0,,,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,,,,,0.0
ORIGINAL_SAFEFLOWMPC,0,0,0,0.0,0.0,18.521711349487305,14.858668309116364,0.4599528407096848,0.0575940937551297,1.0,1.0,0.0,1,0.0044440840138122,0.0109449109877459,11.502374272153588,0.0,0.0,0.4599528407096848,1.5401820964407342,0.0575940937551297,0.3814229675322609,14.858668309116364,0.0,,0.0,0.0,,,,,0.0
ORIGINAL_SAFEFLOWMPC,0,0,1,0.1428571428571428,0.0,10.238699913024902,4.376251858139038,0.4734507886941024,0.0708515175309377,1.0,1.0,0.0,1,0.0073582589975558,0.0080455059651285,3.317658575561707,0.0,0.0,0.4734507886941024,0.8025951099129341,0.0708515175309377,0.2374140709460322,4.376251858139038,0.0,,0.0,0.0,,,,,0.0
ORIGINAL_SAFEFLOWMPC,0,0,2,0.2857142857142857,0.0,7.7735066413879395,3.0612750467300414,0.4766655677820254,0.0830738865486526,1.0,1.0,0.0,1,0.0040984850493259,0.0047264309832826,0.2968417124781006,0.0,0.0,0.4766655677820254,0.7685979504288151,0.0830738865486526,0.1928099573455036,3.0612750467300414,0.0,,0.0,0.0,,,,,0.0
ORIGINAL_SAFEFLOWMPC,0,0,3,0.4285714285714285,0.0,7.923809051513672,1.0430146869659422,0.4778718513347427,0.0861094295371796,1.0,1.0,0.0,1,0.0040366440080106,0.0046471889945678,0.30465120296454,0.0,0.0,0.4778718513347427,0.7239550065104913,0.0861094295371796,0.1457992290608721,1.0430146869659422,0.0,,0.0,0.0,,,,,0.0
ORIGINAL_SAFEFLOWMPC,0,0,4,0.5714285714285714,0.0,8.270684242248535,0.7120509561538695,0.4783066640703691,0.089210248651708,1.0,1.0,0.0,1,0.0041343260090798,0.0047695529647171,0.4753785564266277,0.0,0.0,0.4783066640703691,0.6737292617210634,0.089210248651708,0.1053363864861298,0.7120509561538695,0.0023965182597622,,0.0,0.0,,,,,0.0
