task_id,method,collision_rate,goal_error,min_clearance,optimization_calls
0,ADAPTIVE_ALLTIME_L05,0.0,0.42887910328956597,0.04039279568113985,7.0
0,HYBRID_LATE_ADAPTIVE,0.0,0.42720967019443357,0.041738986546641835,3.0
0,HYBRID_LATE_DAMPED,0.0,0.42720967019443357,0.041738986546641835,3.0
0,PLAIN_FM,0.0,0.44758888589210927,0.06750230004457887,0.0
0,POV_L05_ALWAYS,0.0,0.4336454830267279,0.04063764159963462,7.0
0,YFLOW_MAIN_PORT,0.0,0.41585249849797956,0.033853116199747846,3.0
1,ADAPTIVE_ALLTIME_L05,0.0,0.33177139414218604,0.03244465760274712,6.875
1,HYBRID_LATE_ADAPTIVE,0.0,0.3404823861310346,0.032275445606484335,2.90625
1,HYBRID_LATE_DAMPED,0.0,0.32763524527941423,0.03301121816326316,3.0
1,PLAIN_FM,0.0,0.4723736604877442,0.025429672812985058,0.0
1,POV_L05_ALWAYS,0.0,0.30700892095972243,0.03274943798169876,7.0
1,YFLOW_MAIN_PORT,0.0,0.1936700590271315,0.02339119161570091,3.0
2,ADAPTIVE_ALLTIME_L05,0.0,0.35761911969350546,0.06885323931513092,7.0
2,HYBRID_LATE_ADAPTIVE,0.0,0.3585947367723307,0.06942113878852565,3.0
2,HYBRID_LATE_DAMPED,0.0,0.3585947367723307,0.06942113878852565,3.0
2,PLAIN_FM,0.0,0.39321548424277414,0.07553275739165044,0.0
2,POV_L05_ALWAYS,0.0,0.3442169024526246,0.05137614754604428,7.0
2,YFLOW_MAIN_PORT,0.0,0.34092140562501283,0.05662188219217003,3.0
3,ADAPTIVE_ALLTIME_L05,0.0,0.7206789170548633,0.10308772466852428,7.0
3,HYBRID_LATE_ADAPTIVE,0.0,0.7241957001929944,0.10286744210668645,3.0
3,HYBRID_LATE_DAMPED,0.0,0.7241957001929944,0.10286744210668645,3.0
3,PLAIN_FM,0.0,0.914100349003658,0.10621414444073603,0.0
3,POV_L05_ALWAYS,0.0,0.6440744621319421,0.07395728531334067,7.0
3,YFLOW_MAIN_PORT,1.0,0.5267329054859862,-0.026323473525245146,3.0
4,ADAPTIVE_ALLTIME_L05,0.0,0.2277844797219331,0.0223627426803617,7.0
4,HYBRID_LATE_ADAPTIVE,0.03125,0.21969182670156684,0.020162177024969825,3.0
4,HYBRID_LATE_DAMPED,0.03125,0.21964108224040588,0.02019099297397247,3.0
4,PLAIN_FM,0.90625,0.22698927784851253,-0.006954046557986058,0.0
4,POV_L05_ALWAYS,0.03125,0.1707447843059843,0.015085280035144462,7.0
4,YFLOW_MAIN_PORT,0.0,0.20288993948919265,0.037993092734585794,3.0
5,ADAPTIVE_ALLTIME_L05,0.0,0.9387864464371097,0.11030258366948542,5.78125
5,HYBRID_LATE_ADAPTIVE,0.0,0.9674429404467234,0.11541735572062299,1.59375
5,HYBRID_LATE_DAMPED,0.0,0.733081379890508,0.07539453008196413,3.0
5,PLAIN_FM,0.0,1.0360043868094562,0.12875484179160968,0.0
5,POV_L05_ALWAYS,0.0,0.7338142447656448,0.08265389718289202,7.0
5,YFLOW_MAIN_PORT,1.0,0.4473761262058632,-0.03950136981769063,3.0
